obs,INF,U
1987Q1,2,8.1
1987Q2,1.5,8
1987Q3,1.7,7.8
1987Q4,1.8,7.7
1988Q1,1.8,7.3
1988Q2,1.7,7.3
1988Q3,1.9,6.7
1988Q4,2,6.5
1989Q1,1,6.3
1989Q2,2.5,6
1989Q3,2.3,5.8
1989Q4,1.8,5.6
1990Q1,1.7,6
1990Q2,1.6,6.2
1990Q3,0.8,7
1990Q4,2.6,7.6
1991Q1,-0.2,8.4
1991Q2,0.2,9.2
1991Q3,0.6,9.6
1991Q4,0.9,9.9
1992Q1,0,10.1
1992Q2,-0.3,10.5
1992Q3,0.1,10.6
1992Q4,0.5,10.8
1993Q1,0.9,10.7
1993Q2,0.4,10.6
1993Q3,0.5,10.6
1993Q4,0.2,10.5
1994Q1,0.4,10.1
1994Q2,0.7,9.7
1994Q3,0.6,9.2
1994Q4,0.8,8.8
1995Q1,1.7,8.5
1995Q2,1.3,8.2
1995Q3,1.2,8
1995Q4,0.8,8.2
1996Q1,0.4,8.2
1996Q2,0.7,8.1
1996Q3,0.3,8.3
1996Q4,0.2,8.3
1997Q1,0.2,8.4
1997Q2,-0.2,8.3
1997Q3,-0.4,8.2
1997Q4,0.3,8
1998Q1,0.3,7.9
1998Q2,0.6,7.7
1998Q3,0.2,7.8
1998Q4,0.5,7.4
1999Q1,-0.1,7.2
1999Q2,0.4,6.9
1999Q3,0.9,6.9
1999Q4,0.6,6.7
2000Q1,0.9,6.5
2000Q2,0.8,6.4
2000Q3,1,6.1
2000Q4,0.3,6.2
2001Q1,1.1,6.4
2001Q2,0.8,6.8
2001Q3,0.3,6.9
2001Q4,0.9,6.9
2002Q1,0.9,6.7
2002Q2,0.7,6.4
2002Q3,0.7,6.3
2002Q4,0.7,6.2
2003Q1,1.3,6.1
2003Q2,0,6.1
2003Q3,0.6,5.9
2003Q4,0.5,5.7
2004Q1,0.9,5.5
2004Q2,0.5,5.4
2004Q3,0.4,5.5
2004Q4,0.8,5.1
2005Q1,0.7,5.1
2005Q2,0.6,5.1
2005Q3,0.9,5
2005Q4,0.5,5.1
2006Q1,0.9,5
2006Q2,1.6,4.8
2006Q3,0.9,4.7
2006Q4,-0.1,4.6
2007Q1,0.1,4.5
2007Q2,1.2,4.3
2007Q3,0.7,4.3
2007Q4,0.9,4.4
2008Q1,1.3,4
2008Q2,1.5,4.2
2008Q3,1.2,4.2
2008Q4,-0.3,4.5
2009Q1,0.1,5.3
2009Q2,0.5,5.7
2009Q3,1,5.8
